iter	Passed	Remaining
367	491049	843324
368	492397	842013
369	493746	840703
370	495087	839380
371	496427	838055
372	497794	836775
373	499144	835466
374	500486	834143
375	501825	832816
376	503167	831494
377	504535	830214
378	505882	828900
379	507225	827578
380	508590	826292
381	509943	824986
382	511258	823620
383	512593	822285
384	513935	820962
385	515265	819618
386	516626	818326
387	517963	816993
388	519310	815677
389	520633	814324
390	522008	813051
391	523348	811724
392	524686	810392
393	526039	809085
394	527386	807769
395	528718	806429
396	530038	805070
397	531140	803384
398	532490	802072
399	533837	800755
400	535202	799467
401	536554	798157
402	537895	796833
403	539245	795521
404	540578	794183
405	541908	792841
406	543272	791548
407	544630	790248
408	545967	788916
409	547304	787584
410	548654	786271
411	550008	784963
412	551310	783582
413	552658	782265
414	553996	780935
415	555345	779619
416	556661	778258
417	558003	776933
418	559329	775586
419	560650	774232
420	562006	772925
421	563341	771591
422	564677	770256
423	566020	768933
424	567348	767588
425	568704	766283
426	570065	764982
427	571424	763678
428	572758	762343
429	574116	761038
430	575458	759712
431	576791	758373
432	578143	757060
433	579495	755747
434	580838	754423
435	582181	753097
436	583529	751777
437	584879	750462
438	586217	749130
439	587551	747793
440	588897	746470
441	590240	745144
442	591579	743814
443	592908	742471
444	594245	741138
445	595573	739793
446	596921	738473
447	598265	737147
448	599586	735795
449	600923	734461
450	602263	733132
451	603630	731835
452	605005	730547
453	606385	729265
454	607723	727932
455	609059	726597
456	610406	725274
457	611740	723937
458	613090	722618
459	614414	721268
460	615795	719986
461	617130	718649
462	618485	717335
463	619832	716013
464	621165	714674
465	622535	713377
466	623864	712033
467	625209	710708
468	626565	709394
469	627924	708084
470	629270	706759
471	630629	705450
472	631980	704130
473	633321	702800
474	634667	701474
475	636012	700148
476	637353	698817
477	638708	697501
478	640043	696164
479	641393	694843
480	642732	693509
481	644081	692187
482	645428	690861
483	646756	689517
484	648079	688166
485	649420	686835
486	650758	685501
487	652101	684172
488	653453	682851
489	654793	681519
490	656143	680197
491	657487	678868
492	658830	677539
